date,COVID_HOSP,reporting_week,reporting_year,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,numtotal_all_distributed,numtotal_pfizerbiontech_distributed,numtotal_pfizerbiontech_5_11_distributed,numtotal_moderna_distributed,numtotal_astrazeneca_distributed,numtotal_janssen_distributed,numtotal_novavax_distributed,as_of_date
2021-01-02,4388,53,2020,596376,49006,1559.31,15715,814,41.09,128.13,2.13,94138.0,1626.0,246.14,4.25,7000.86,18.3,116.29,0.3,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-03,4516,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-04,4593,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-05,4669,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-06,4661,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-07,4678,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,424150,255450,0,168700,0,0,0,2020-12-31
2021-01-08,4637,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,548950,380250,0,168700,0,0,0,2021-01-07
2021-01-09,4688,1,2021,653014,56638,1707.4,16726,1011,43.73,148.09,2.64,105644.0,1825.0,276.22,4.77,8091.14,21.16,144.43,0.38,548950,380250,0,168700,0,0,0,2021-01-07
2021-01-10,4861,2,2021,702767,49753,1837.49,17758,1032,46.43,130.09,2.7,106391.0,2043.0,278.17,5.34,7107.57,18.58,147.43,0.39,548950,380250,0,168700,0,0,0,2021-01-07
2021-01-11,4930,2,2021,702767,49753,1837.49,17758,1032,46.43,130.09,2.7,106391.0,2043.0,278.17,5.34,7107.57,18.58,147.43,0.39,548950,380250,0,168700,0,0,0,2021-01-07
