pruid,prname,date,numtotal_all_distributed,numtotal_pfizerbiontech_distributed,numtotal_pfizerbiontech_5_11_distributed,numtotal_moderna_distributed,numtotal_astrazeneca_distributed,numtotal_janssen_distributed,numtotal_novavax_distributed,as_of_date,updated,numdelta_all_distributed,numdelta_pfizerbiontech_distributed,numdelta_pfizerbiontech_5_11_distributed,numdelta_moderna_distributed,numdelta_astrazeneca_distributed,numdelta_janssen_distributed,numdelta_novavax_distributed
1,Canada,2021-01-02,424150,255450,0,168700,0,0,0,2020-12-31,1,,,,,,,
35,Ontario,2021-01-02,148350,95550,0,52800,0,0,0,2020-12-31,1,,,,,,,
59,British Columbia,2021-01-02,54625,34125,0,20500,0,0,0,2020-12-31,1,,,,,,,
48,Alberta,2021-01-02,46150,29250,0,16900,0,0,0,2020-12-31,1,,,,,,,
47,Saskatchewan,2021-01-02,13675,8775,0,4900,0,0,0,2020-12-31,1,,,,,,,
12,Nova Scotia,2021-01-02,9550,5850,0,3700,0,0,0,2020-12-31,1,,,,,,,
46,Manitoba,2021-01-02,19975,12675,0,7300,0,0,0,2020-12-31,1,,,,,,,
13,New Brunswick,2021-01-02,8250,5850,0,2400,0,0,0,2020-12-31,1,,,,,,,
10,Newfoundland and Labrador,2021-01-02,6300,3900,0,2400,0,0,0,2020-12-31,1,,,,,,,
11,Prince Edward Island,2021-01-02,5100,3900,0,1200,0,0,0,2020-12-31,1,,,,,,,
61,Northwest Territories,2021-01-02,7200,0,0,7200,0,0,0,2020-12-31,1,,,,,,,
62,Nunavut,2021-01-02,6000,0,0,6000,0,0,0,2020-12-31,1,,,,,,,
24,Quebec,2021-01-02,88075,55575,0,32500,0,0,0,2020-12-31,1,,,,,,,
60,Yukon,2021-01-02,7200,0,0,7200,0,0,0,2020-12-31,1,,,,,,,
90,Federal allocation,2021-01-02,3700,0,0,3700,0,0,0,2020-12-31,1,,,,,,,
1,Canada,2021-01-03,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-03,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-03,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-03,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-03,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-03,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-03,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-03,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-03,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-03,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-03,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
